,0,1,2
493,Brno-CZ,Oradea-RO,-0.0
494,Ostrava-CZ,Oradea-RO,-0.0
495,Krupka 1-CZ,Oradea-RO,-0.0
496,Plzen 1-CZ,Oradea-RO,-0.0
497,Hradec Kralove - Brezhrad-CZ,Oradea-RO,-0.0
498,Ricany -CZ,Oradea-RO,-0.0
499,Zlin-CZ,Oradea-RO,-0.0
500,Olomouc-CZ,Oradea-RO,-0.0
501,PZ 67 (Speyer)-DE,Lieto (Turku)-FL,-0.0
502,PZ 67 (Speyer)-DE,Vantaa (Helsinki)-FL,-0.0
503,PZ 50 (Köln)-DE,Lieto (Turku)-FL,-0.0
504,PZ 50 (Köln)-DE,Vantaa (Helsinki)-FL,-0.0
505,PZ 04 (Radefeld/Leipzig)-DE,Lieto (Turku)-FL,-0.0
506,PZ 04 (Radefeld/Leipzig)-DE,Vantaa (Helsinki)-FL,-0.0
507,PZ 90 (Feucht/Nürnberg)-DE,Lieto (Turku)-FL,-0.0
508,PZ 90 (Feucht/Nürnberg)-DE,Vantaa (Helsinki)-FL,-0.0
509,PZ 77 (Lahr)-DE,Lieto (Turku)-FL,-0.0
510,PZ 77 (Lahr)-DE,Vantaa (Helsinki)-FL,-0.0
