,0,1,2
419,Sofia-BG,PZ 44 (Bochum) [im Bau]-DE,-0.0
420,Sofia-BG,Barcelona-ES,-0.0
421,Sofia-BG,Madrid-ES,0.0
422,Sofia-BG,Araba (Vitoria)-ES,0.0
423,Sofia-BG,Lieto (Turku)-FL,-0.0
424,Sofia-BG,Vantaa (Helsinki)-FL,-0.0
425,Sofia-BG,Kaunas-LT,1.0
426,Sofia-BG,Lisboa-PT,-0.0
427,Brno-CZ,Hub Wien I-AT,-0.0
428,Brno-CZ,Hub Wien II-AT,0.0
429,Brno-CZ,Hub Graz-AT,-0.0
430,Brno-CZ,Hagenbrunn-AT,1.0
431,Brno-CZ,Allhaming-AT,-0.0
432,Brno-CZ,Enns-AT,-0.0
433,Brno-CZ,Wernberg-AT,-0.0
434,Brno-CZ,Wals-AT,-0.0
435,Brno-CZ,Hall in Tirol-AT,-0.0
436,Brno-CZ,Liesing-AT,-0.0
437,Brno-CZ,Wundschuh-AT,-0.0
438,Ostrava-CZ,Hub Wien I-AT,-0.0
439,Ostrava-CZ,Hub Wien II-AT,-0.0
440,Ostrava-CZ,Hub Graz-AT,-0.0
441,Ostrava-CZ,Hagenbrunn-AT,-0.0
442,Ostrava-CZ,Allhaming-AT,-0.0
443,Ostrava-CZ,Enns-AT,-0.0
444,Ostrava-CZ,Wernberg-AT,-0.0
445,Ostrava-CZ,Wals-AT,-0.0
446,Ostrava-CZ,Hall in Tirol-AT,-0.0
447,Ostrava-CZ,Liesing-AT,-0.0
448,Ostrava-CZ,Wundschuh-AT,-0.0
449,Krupka 1-CZ,Hub Wien I-AT,-0.0
450,Krupka 1-CZ,Hub Wien II-AT,-0.0
451,Krupka 1-CZ,Hub Graz-AT,-0.0
452,Krupka 1-CZ,Hagenbrunn-AT,-0.0
453,Krupka 1-CZ,Allhaming-AT,-0.0
454,Krupka 1-CZ,Enns-AT,-0.0
455,Krupka 1-CZ,Wernberg-AT,-0.0
456,Krupka 1-CZ,Wals-AT,-0.0
457,Krupka 1-CZ,Hall in Tirol-AT,-0.0
458,Krupka 1-CZ,Liesing-AT,-0.0
459,Krupka 1-CZ,Wundschuh-AT,-0.0
460,Plzen 1-CZ,Hub Wien I-AT,-0.0
461,Plzen 1-CZ,Hub Wien II-AT,-0.0
462,Plzen 1-CZ,Hub Graz-AT,-0.0
