,Origin,Dest.,Transit,agg,city,DE,DIRECT,NL,PL,LT,FI,SK,ES,CZ
193,EE,SK,"LT
DE",EESK,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
194,EE,CY,DE,EECY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,EE,IT,"LT
DE",EEIT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
196,ES,AT,DE,ESAT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,ES,BE,DE,ESBE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,ES,BG,DE,ESBG,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,ES,CZ,DE,ESCZ,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,ES,DE,DIRECT,ESDE,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,ES,DK,DE,ESDK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,ES,EE,"DE
LT",ESEE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
203,ES,ES,,ESES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,ES,FI,DE,ESFI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,ES,FR,DIRECT,ESFR,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,ES,GB,DE,ESGB,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,ES,GR,DE,ESGR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,ES,HR,DE,ESHR,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,ES,HU,DE,ESHU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,ES,IE,DE,ESIE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,ES,LT,DE,ESLT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,ES,LU,DE,ESLU,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,ES,LV,"DE
LT",ESLV,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
214,ES,NL,DE,ESNL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,ES,NO,,ESNO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,ES,PL,DE,ESPL,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,ES,PT,DIRECT,ESPT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,ES,RO,DE,ESRO,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,ES,SE,DE,ESSE,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,ES,SI,DE,ESSI,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,ES,SK,DE,ESSK,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,ES,CY,DE,ESCY,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,ES,IT,DE,ESIT,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,FI,AT,"LT
DE",FIAT,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,FI,BE,"LT
DE",FIBE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
226,FI,BG,"LT
DE",FIBG,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
227,FI,CZ,"LT
DE",FICZ,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
228,FI,DE,LT,FIDE,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
229,FI,DK,DIRECT,FIDK,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,FI,EE,,FIEE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,FI,ES,"LT
DE",FIES,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
232,FI,FI,,FIFI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,FI,FR,"LT
DE",FIFR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
234,FI,GB,"LT
DE",FIGB,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
235,FI,GR,"LT
DE",FIGR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
236,FI,HR,"LT
DE",FIHR,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
237,FI,HU,"LT
DE",FIHU,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
238,FI,IE,"LT
DE",FIIE,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,FI,LT,,FILT,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,FI,LU,"LT
DE",FILU,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
241,FI,LV,,FILV,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
